d_opt,sigma_d,tissue,d,k_rel,loss
4e-08,1e-08,Transport-Resistant,3.0000000000000004e-08,0.00031622776601683794,3.112534445879188e-05
4e-08,1e-08,Transport-Resistant,3.0000000000000004e-08,0.00046415888336127773,3.027458694884786e-05
4e-08,1e-08,Transport-Resistant,3.0000000000000004e-08,0.0006812920690579609,2.958072349940893e-05
4e-08,1e-08,Transport-Resistant,3.0000000000000004e-08,0.001,2.9034846235686722e-05
4e-08,1e-08,Transport-Resistant,3.0000000000000004e-08,0.001467799267622069,2.8606328418331938e-05
4e-08,1e-08,Transport-Resistant,3.0000000000000004e-08,0.002154434690031882,2.8256396196192507e-05
4e-08,1e-08,Transport-Resistant,3.0000000000000004e-08,0.0031622776601683794,2.794704818180118e-05
4e-08,1e-08,Transport-Resistant,3.0000000000000004e-08,0.004641588833612777,2.7646043112586674e-05
4e-08,1e-08,Transport-Resistant,3.0000000000000004e-08,0.006812920690579608,2.732942971517389e-05
4e-08,1e-08,Transport-Resistant,3.0000000000000004e-08,0.01,2.6981836473578484e-05
4e-08,1e-08,Transport-Resistant,3.25e-08,1e-06,3.3417037712098147e-06
4e-08,1e-08,Transport-Resistant,3.25e-08,1.4677992676220705e-06,4.455394626641658e-06
4e-08,1e-08,Transport-Resistant,3.25e-08,2.1544346900318822e-06,6.143702591232013e-06
4e-08,1e-08,Transport-Resistant,3.25e-08,3.162277660168379e-06,8.58563129017786e-06
4e-08,1e-08,Transport-Resistant,3.25e-08,4.641588833612782e-06,1.1887977217129606e-05
4e-08,1e-08,Transport-Resistant,3.25e-08,6.8129206905796085e-06,1.599671674952028e-05
4e-08,1e-08,Transport-Resistant,3.25e-08,9.999999999999999e-06,2.0633310312489087e-05
4e-08,1e-08,Transport-Resistant,3.25e-08,1.4677992676220675e-05,2.5298500461972042e-05
4e-08,1e-08,Transport-Resistant,3.25e-08,2.1544346900318823e-05,2.9383628311857068e-05
4e-08,1e-08,Transport-Resistant,3.25e-08,3.1622776601683795e-05,3.237687576051502e-05
4e-08,1e-08,Transport-Resistant,3.25e-08,4.641588833612772e-05,3.4054283230341113e-05
4e-08,1e-08,Transport-Resistant,3.25e-08,6.812920690579608e-05,3.45250089608898e-05
4e-08,1e-08,Transport-Resistant,3.25e-08,0.0001,3.4117378875465607e-05
4e-08,1e-08,Transport-Resistant,3.25e-08,0.0001467799267622069,3.3211085449776206e-05
4e-08,1e-08,Transport-Resistant,3.25e-08,0.00021544346900318823,3.2119096467195426e-05
4e-08,1e-08,Transport-Resistant,3.25e-08,0.00031622776601683794,3.104577597918341e-05
